字段1,name,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
https://yt3.ggpht.com/a/AGF-l79RQfeR9MGaAuDef96_Fug65LvcG6hMeL0kdw=s88-c-k-c0xffffffff-no-rj-mo,ZaraLarssonMusicVEVO,65,"3,779,677","1,988,688,416",US,Music,"Nov 5th, 2013",B+,"2,250th","1,038th","4,396th",$5.3K - $84.5K,$63.4K - $1M
https://yt3.ggpht.com/a/AGF-l79yQGViVa_dw3W31rjI0BVHygLVeEuf8eY7pw=s88-c-k-c0xffffffff-no-rj-mo,Chaimae Ouarzazi,71,"708,413","34,784,112",MA,,"May 4th, 2018",B+,"24,071st","378,816th","4,397th",$2.1K - $33.3K,$25K - $399.4K
https://yt3.ggpht.com/a/AGF-l7-A3pEHH1Q30CBG7HwcwvR2hP1BSaaA-YZTBQ=s88-c-k-c0xffffffff-no-rj-mo,Bogdan's Show,816,"670,107","236,545,999",RO,People,"Aug 16th, 2012",B+,"23,836th","22,210th","4,398th",$4.7K - $74.4K,$55.8K - $893.3K
https://yt3.ggpht.com/a/AGF-l7-Y96OUw4_Gkg8dHi-LFaUPziBHljQANQVG9g=s88-c-k-c0xffffffff-no-rj-mo,LilWayneVEVO,39,"4,943,220","2,690,483,699",US,Music,"May 12th, 2009",B+,"1,486th",676th,"4,399th",$5.6K - $90.4K,$67.8K - $1.1M
https://yt3.ggpht.com/a/AGF-l79pc7ELdwJSjqTzjj16gRNNpVl6lwNgWxDczw=s88-c-k-c0xffffffff-no-rj-mo,레이디버그TV,167,"1,421,068","595,557,891",KR,,"Jul 26th, 2016",B+,"9,417th","5,109th","4,400th",$8.8K - $140.3K,$105.2K - $1.7M
https://yt3.ggpht.com/a/AGF-l79BvdDh7T_OZdzXmgwf01id4dsTod2AZnawug=s88-c-k-c0xffffffff-no-rj-mo,NEE Entertainment,828,"579,678","99,610,734",IN,,"Dec 7th, 2016",B+,"27,821st","37,581st","4,401st",$3.2K - $50.6K,$38K - $607.6K
https://yt3.ggpht.com/a/AGF-l7_7QB2MP1nsu-vLJ1LhmgiU1kHWzgghn-GLiA=s88-c-k-c0xffffffff-no-rj-mo,AndreaBocelliVEVO,241,"807,031","831,299,153",US,Music,"May 12th, 2009",B+,"16,739th","3,390th","4,403rd",$5.5K - $87.3K,$65.5K - $1M
https://yt3.ggpht.com/a/AGF-l7-OnaR1yUpsUswN7Q86kua-mmEpdGkQLkOt1w=s88-c-k-c0xffffffff-no-rj-mo,Learn Colors For Kids,35,"1,817,346","607,611,895",,,"Dec 2nd, 2016",B+,"6,507th","4,760th","4,404th",$280 - $4.5K,$3.4K - $53.7K
https://yt3.ggpht.com/a/AGF-l7_xSTQK_52-rt23smvZZra4I2ZbF5etfI29xA=s88-c-k-c0xffffffff-no-rj-mo,ToysMyToys,92,"992,930","432,262,110",US,Film,"Mar 19th, 2016",B+,"16,992nd","7,266th","4,405th",$3.3K - $52.5K,$39.4K - $630.6K
https://yt3.ggpht.com/B1sVeUVMdFnscsFdkQJxhQA4Jk25hoOmWz-T9rL61P_1aTRi8eMrWOIN1nx6ovYWLVPLZeAL=s88-c-k-c0xffffffff-no-rj-mo,Ariana Grande - Topic,716,"413,045","241,239,621",,Music,"Sep 4th, 2013",B+,"37,506th","20,572nd","4,406th",$7.5K - $120.4K,$90.3K - $1.4M
https://yt3.ggpht.com/a/AGF-l79ONvxHp4g9LcrxDxz8XGiQixyEqRm-635ZkQ=s88-c-k-c0xffffffff-no-rj-mo,DaniLeighVEVO,34,"19,117","164,615,450",,Music,"Feb 29th, 2016",B+,"521,637th","50,062nd","4,407th",$11K - $175.2K,$131.4K - $2.1M
